file	sha256	table	index	name	type	bind	visibility	section	value	size	undefined	related_name
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	21991	pcibios_reset_secondary_bus	STT_FUNC	STB_WEAK	STV_DEFAULT	.kernel	0xffffffc0103e0b50	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	21992	pci_bridge_secondary_bus_reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0103e0b64	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	21993	__pci_reset_function_locked	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0103e0c40	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	21994	pci_reset_function	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0103e0da4	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	21995	pci_reset_function_locked	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0103e0e20	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	21996	pci_try_reset_function	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0103e0e70	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	21997	pci_reset_bus	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0103e0f20	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	21998	pci_probe_reset_function	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0103e1240	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	21999	pci_bus_error_reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0103e1304	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	22102	pci_dev_specific_reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0103f1d80	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	22184	mt7512_pcie_reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0103fa470	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	22185	mt7512_pcie_reset01	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0103faf00	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	22186	mt7512_pcie_reset2	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0103fb944	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	22409	ecnt_hsdma_reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc01040c720	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	23408	mmc_hw_reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc010460840	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	23413	mmc_sw_reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc010460cd0	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	23444	mmc_cqe_recovery	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0104625bc	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	23516	sdio_reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc01046bbf4	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	23576	mmc_pwrseq_reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc01046e830	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	23810	SPI_NFI_Reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc01048db40	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	23828	PARALLEL_NFI_RESET	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc01048eb70	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	23854	parallel_nand_protocol_reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc01048fe80	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	23893	nand_reset_op	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc010493324	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	23916	nand_reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0104982f0	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	24080	phy_ethtool_nway_reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0104b4790	0x0	0	1
